country,substation_id,action,destination,reason
italy,7000023002,remove,slovenia,duplicate of slovenia SI_v43_ea214d6f27e6 at 0.05 m
italy,7000023020,remove,slovenia,duplicate of slovenia SI_v43_6833933e9251 at 0.04 m
italy,7000023021,remove,slovenia,duplicate of slovenia SI_v43_8124bb9bc48b at 0.06 m
italy,7000023022,remove,slovenia,duplicate of slovenia SI_v43_bd22e414a03f at 0.05 m
italy,7000023033,remove,slovenia,duplicate of slovenia SI_v43_4c9c238affab at 0.05 m
italy,7000023035,remove,slovenia,duplicate of slovenia SI_v43_a157ce824ee1 at 0.03 m
italy,7000023040,remove,slovenia,duplicate of slovenia SI_v43_39b170bf92e2 at 0.03 m
italy,7000023060,remove,slovenia,duplicate of slovenia SI_v43_3bcc487c5776 at 0.03 m
italy,7000023061,remove,slovenia,duplicate of slovenia SI_v43_632e751ebd6e at 0.03 m
italy,7000023062,remove,slovenia,duplicate of slovenia SI_v43_9646de15512b at 0.01 m
italy,7000023063,remove,slovenia,duplicate of slovenia SI_v43_fbd03ee6560e at 0.02 m
italy,7000023064,remove,slovenia,duplicate of slovenia SI_v43_8b2ae620599c at 0.02 m
italy,7000023065,remove,slovenia,duplicate of slovenia SI_v43_ea4ce331c68c at 0.00 m
italy,7000023066,remove,slovenia,duplicate of slovenia SI_v43_a6a98786e131 at 0.05 m
italy,7000023068,remove,slovenia,duplicate of slovenia SI_v43_a86a7f920c6f at 0.04 m
italy,7000023073,remove,slovenia,duplicate of slovenia SI_v43_b08c4085b149 at 0.01 m
italy,7000023087,remove,slovenia,duplicate of slovenia SI_v43_341a41466401 at 0.05 m
italy,7000023088,remove,slovenia,duplicate of slovenia SI_v43_857a2aee7bfb at 0.05 m
italy,7000023092,remove,slovenia,duplicate of slovenia SI_v43_581e5a123ec7 at 0.04 m
italy,7000023115,remove,slovenia,duplicate of slovenia SI_v43_87bd7b42d5c3 at 0.03 m
italy,7000023116,reassign,slovenia,new to slovenia
italy,7000023130,remove,slovenia,duplicate of slovenia SI_v43_3acb616873d6 at 0.03 m
italy,7000023133,remove,slovenia,duplicate of slovenia SI_v43_7b333941ef2e at 0.04 m
italy,7000023134,remove,slovenia,duplicate of slovenia SI_v43_b36e0fb69e44 at 0.05 m
italy,7000023135,remove,slovenia,duplicate of slovenia SI_v43_03e8c6072ede at 0.03 m
italy,7000023136,remove,slovenia,duplicate of slovenia SI_v43_549baa58744d at 0.04 m
italy,7000023137,remove,slovenia,duplicate of slovenia SI_v43_3961567c1f1f at 0.02 m
italy,7000023138,remove,slovenia,duplicate of slovenia SI_v43_5e17f88a8c27 at 0.03 m
italy,7000023178,remove,slovenia,duplicate of slovenia SI_v43_dffdcdbf3387 at 0.04 m
italy,7000023180,remove,slovenia,duplicate of slovenia SI_v43_e9f24387ddbc at 0.02 m
italy,7000023197,remove,slovenia,duplicate of slovenia SI_v43_de10e50baf32 at 0.02 m
italy,7000023198,remove,slovenia,duplicate of slovenia SI_v43_6357a65a7aba at 0.04 m
italy,7000023199,remove,slovenia,duplicate of slovenia SI_v43_6b3fa1bf671b at 0.05 m
italy,7000023200,remove,slovenia,duplicate of slovenia SI_v43_67ebc67041e1 at 0.02 m
italy,7000023201,remove,slovenia,duplicate of slovenia SI_v43_bda52cd76225 at 0.06 m
italy,7000023202,remove,slovenia,duplicate of slovenia SI_v43_b647ad52c77e at 0.04 m
italy,7000023203,remove,slovenia,duplicate of slovenia SI_v43_0af44affb06f at 0.05 m
italy,7000023204,remove,slovenia,duplicate of slovenia SI_v43_e77db74c7e16 at 0.05 m
italy,7000023205,remove,slovenia,duplicate of slovenia SI_v43_955683c35174 at 0.02 m
italy,7000023206,reassign,slovenia,new to slovenia
italy,7000023207,reassign,slovenia,new to slovenia; nearest existing 136.4 m
italy,7000023208,reassign,slovenia,new to slovenia
italy,7000023209,remove,slovenia,duplicate of slovenia SI_v43_16630308ff83 at 0.03 m
italy,7000023210,remove,slovenia,duplicate of slovenia SI_v43_9e88936a2ad2 at 0.06 m
