province,region,nuts_level,gdp_per_capita,unemployment_rate,elderly_pct,ep_rate,migration_score,_data_source
DE40D,DE40D,3,33400.0,3.8,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE40E,DE40E,3,33000.0,3.8,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE40F,DE40F,3,36000.0,3.8,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE40G,DE40G,3,51300.0,3.8,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE40H,DE40H,3,43300.0,3.8,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE40I,DE40I,3,38800.0,3.8,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE501,DE501,3,61100.0,5.1,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE502,DE502,3,42800.0,5.1,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE600,DE600,3,84200.0,5.3,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE711,DE711,3,94200.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE712,DE712,3,120900.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE713,DE713,3,50600.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE714,DE714,3,73700.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE715,DE715,3,35600.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE716,DE716,3,33600.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE717,DE717,3,55800.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE718,DE718,3,72800.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE719,DE719,3,40300.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE71A,DE71A,3,72800.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE71B,DE71B,3,32200.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE71C,DE71C,3,48400.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE71D,DE71D,3,29500.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE71E,DE71E,3,36500.0,3.6,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE721,DE721,3,45600.0,2.7,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE722,DE722,3,43100.0,2.7,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
DE723,DE723,3,37100.0,2.7,18.5,10.0,0.5,P15-F-1 (gdp:eurostat-NUTS3; unemp:eurostat-NUTS2; elderly:default)
